Order_ID,Customer_ID,Order_Timestamp,City,Payment_Mode,Product_Category,Product_Name,Price,Discount_Percentage,Final_Price,Quantity,Total_Spend,Customer_Age_Group,Delivery_Time_Minutes,Rider_Rating
ZP100073,7954,2024-01-01 01:13:00,Chennai,Debit Card,Vegetables,Tomato,390.57,5,371.04,4,1484.16,18-25,28,4.4
ZP100074,4800,2024-01-01 01:14:00,Delhi,UPI,Bakery,Bread,212.61,0,212.61,4,850.44,36-50,22,4.5
ZP100075,8904,2024-01-01 01:15:00,Kolkata,Credit Card,Snacks,Juice,67.44,25,50.58,1,50.58,26-35,42,4.7
ZP100076,7299,2024-01-01 01:16:00,Chennai,Cash,Fruits,Butter,498.59,25,373.94,3,1121.82,51+,37,4.1
ZP100077,9894,2024-01-01 01:17:00,Kolkata,Credit Card,Vegetables,Milk,491.92,20,393.54,2,787.08,36-50,23,3.6
ZP100078,3067,2024-01-01 01:18:00,Bangalore,Debit Card,Beverages,Milk,180.94,20,144.75,1,144.75,51+,36,4.2
ZP100079,8632,2024-01-01 01:19:00,Chennai,UPI,Bakery,Tomato,494.13,25,370.6,1,370.6,18-25,37,4.4
ZP100080,3855,2024-01-01 01:20:00,Bangalore,Cash,Beverages,Chips,429.75,0,429.75,5,2148.75,36-50,31,3.7
ZP100081,2161,2024-01-01 01:21:00,Kolkata,Debit Card,Vegetables,Butter,32.59,15,27.7,2,55.4,26-35,24,3.9
ZP100082,6836,2024-01-01 01:22:00,Bangalore,Credit Card,Bakery,Milk,387.97,5,368.57,2,737.14,18-25,38,4.9
ZP100083,1446,2024-01-01 01:23:00,Kolkata,Cash,Snacks,Juice,471.21,20,376.97,2,753.94,18-25,37,4.8
ZP100084,9512,2024-01-01 01:24:00,Delhi,Credit Card,Beverages,Butter,176.2,5,167.39,3,502.17,26-35,42,3.6
ZP100085,7082,2024-01-01 01:25:00,Chennai,Cash,Beverages,Apple,125.19,20,100.15,4,400.6,51+,32,3.8
ZP100086,4905,2024-01-01 01:26:00,Kolkata,Credit Card,Beverages,Tomato,340.33,0,340.33,4,1361.32,26-35,21,3.6
ZP100087,2171,2024-01-01 01:27:00,Delhi,UPI,Fruits,Bread,476.6,5,452.77,4,1811.08,18-25,38,3.5
ZP100088,4503,2024-01-01 01:28:00,Delhi,Credit Card,Snacks,Butter,316.46,10,284.81,3,854.43,26-35,20,3.7
ZP100089,7094,2024-01-01 01:29:00,Kolkata,Debit Card,Beverages,Butter,261.61,15,222.37,4,889.48,18-25,38,4.2
ZP100090,6174,2024-01-01 01:30:00,Delhi,UPI,Fruits,Juice,417.87,5,396.98,1,396.98,36-50,43,3.5
ZP100091,8436,2024-01-01 01:31:00,Delhi,Cash,Beverages,Juice,395.69,25,296.77,4,1187.08,18-25,38,4.9
ZP100092,7096,2024-01-01 01:32:00,Kolkata,Credit Card,Bakery,Juice,177.3,25,132.98,1,132.98,26-35,30,4.5
ZP100093,8341,2024-01-01 01:33:00,Bangalore,UPI,Snacks,Bread,430.62,15,366.03,2,732.06,36-50,11,4.0
ZP100094,7160,2024-01-01 01:34:00,Mumbai,Debit Card,Snacks,Chips,408.8,5,388.36,1,388.36,18-25,35,4.7
ZP100095,4582,2024-01-01 01:35:00,Chennai,Debit Card,Dairy,Apple,483.3,10,434.97,1,434.97,36-50,37,4.6
ZP100096,2490,2024-01-01 01:36:00,Mumbai,UPI,Snacks,Tomato,478.57,0,478.57,5,2392.85,26-35,18,4.7
ZP100097,1914,2024-01-01 01:37:00,Bangalore,Cash,Bakery,Chips,107.18,10,96.46,3,289.38,18-25,16,4.9
ZP100098,8751,2024-01-01 01:38:00,Bangalore,Debit Card,Snacks,Juice,386.15,25,289.61,4,1158.44,26-35,17,3.7
ZP100099,8710,2024-01-01 01:39:00,Kolkata,Debit Card,Dairy,Apple,418.05,15,355.34,5,1776.7,26-35,39,3.7
ZP100100,3495,2024-01-01 01:40:00,Delhi,Debit Card,Bakery,Milk,164.71,10,148.24,1,148.24,26-35,22,3.8
ZP100101,6190,2024-01-01 01:41:00,Bangalore,Credit Card,Vegetables,Apple,372.99,5,354.34,5,1771.7,18-25,34,3.7
ZP100102,7128,2024-01-01 01:42:00,Mumbai,Debit Card,Dairy,Bread,287.69,10,258.92,1,258.92,18-25,40,4.2
ZP100103,9469,2024-01-01 01:43:00,Mumbai,Cash,Dairy,Tomato,150.04,10,135.04,5,675.2,51+,26,5.0
ZP100104,7605,2024-01-01 01:44:00,Delhi,Debit Card,Beverages,Chips,106.17,15,90.24,2,180.48,26-35,31,3.7
ZP100105,2892,2024-01-01 01:45:00,Bangalore,UPI,Bakery,Butter,119.81,15,101.84,4,407.36,36-50,43,4.0
ZP100106,8379,2024-01-01 01:46:00,Chennai,Cash,Dairy,Tomato,39.52,15,33.59,3,100.77,18-25,42,3.7
ZP100107,4956,2024-01-01 01:47:00,Delhi,Credit Card,Beverages,Butter,449.56,10,404.6,4,1618.4,18-25,33,3.8
ZP100108,4540,2024-01-01 01:48:00,Mumbai,UPI,Snacks,Chips,134.04,20,107.23,5,536.15,36-50,18,4.2
ZP100109,3194,2024-01-01 01:49:00,Chennai,Debit Card,Dairy,Milk,154.72,5,146.98,1,146.98,36-50,21,3.6
ZP100110,2047,2024-01-01 01:50:00,Delhi,Credit Card,Vegetables,Juice,155.24,0,155.24,1,155.24,36-50,43,3.9
ZP100111,4322,2024-01-01 01:51:00,Bangalore,Credit Card,Dairy,Juice,290.33,10,261.3,5,1306.5,18-25,36,4.5
ZP100112,6502,2024-01-01 01:52:00,Chennai,Debit Card,Snacks,Chips,357.35,20,285.88,1,285.88,18-25,28,4.1
ZP100113,5281,2024-01-01 01:53:00,Delhi,UPI,Snacks,Butter,263.93,10,237.54,1,237.54,36-50,35,4.5
ZP100114,5411,2024-01-01 01:54:00,Chennai,Credit Card,Snacks,Chips,68.5,5,65.08,4,260.32,18-25,30,4.8
ZP100115,5005,2024-01-01 01:55:00,Delhi,Debit Card,Dairy,Chips,443.47,25,332.6,1,332.6,51+,21,4.6
ZP100116,5434,2024-01-01 01:56:00,Bangalore,Credit Card,Snacks,Juice,217.39,20,173.91,4,695.64,36-50,42,3.6
ZP100117,2538,2024-01-01 01:57:00,Delhi,UPI,Dairy,Bread,218.64,15,185.84,4,743.36,18-25,23,4.8
ZP100118,6926,2024-01-01 01:58:00,Bangalore,Debit Card,Vegetables,Milk,372.97,5,354.32,2,708.64,51+,33,4.9
ZP100119,5148,2024-01-01 01:59:00,Delhi,Debit Card,Bakery,Butter,480.89,25,360.67,5,1803.35,51+,24,5.0
ZP100120,8407,2024-01-01 02:00:00,Delhi,Debit Card,Beverages,Apple,157.3,0,157.3,4,629.2,36-50,41,4.5
ZP100121,3710,2024-01-01 02:01:00,Delhi,Debit Card,Dairy,Milk,28.54,15,24.26,5,121.3,36-50,42,4.0
ZP100122,9900,2024-01-01 02:02:00,Mumbai,Credit Card,Beverages,Tomato,225.09,15,191.33,2,382.66,51+,26,4.5
ZP100123,7198,2024-01-01 02:03:00,Chennai,Debit Card,Vegetables,Butter,107.93,20,86.34,2,172.68,51+,42,3.8
ZP100124,2157,2024-01-01 02:04:00,Chennai,Debit Card,Beverages,Tomato,464.07,5,440.87,5,2204.35,18-25,14,3.6
ZP100125,2123,2024-01-01 02:05:00,Bangalore,UPI,Fruits,Apple,164.93,20,131.94,5,659.7,26-35,22,4.9
ZP100126,3466,2024-01-01 02:06:00,Chennai,UPI,Bakery,Milk,298.37,20,238.7,3,716.1,36-50,31,4.5
ZP100127,6980,2024-01-01 02:07:00,Mumbai,Credit Card,Vegetables,Apple,383.79,5,364.6,2,729.2,36-50,29,4.4
ZP100128,5483,2024-01-01 02:08:00,Mumbai,Cash,Vegetables,Milk,188.4,0,188.4,2,376.8,18-25,18,4.5
ZP100129,7912,2024-01-01 02:09:00,Chennai,Debit Card,Dairy,Bread,360.6,15,306.51,1,306.51,18-25,27,4.8
ZP100130,3104,2024-01-01 02:10:00,Chennai,Credit Card,Fruits,Juice,321.26,25,240.94,3,722.82,36-50,17,4.3
ZP100131,8038,2024-01-01 02:11:00,Delhi,Credit Card,Beverages,Milk,446.24,25,334.68,4,1338.72,36-50,26,3.5
ZP100132,1821,2024-01-01 02:12:00,Chennai,Cash,Beverages,Tomato,435.21,20,348.17,1,348.17,51+,41,3.8
ZP100133,3948,2024-01-01 02:13:00,Kolkata,Credit Card,Bakery,Juice,353.18,15,300.2,5,1501.0,18-25,24,4.9
ZP100134,3448,2024-01-01 02:14:00,Mumbai,Debit Card,Snacks,Butter,461.9,20,369.52,4,1478.08,36-50,19,3.6
ZP100135,6045,2024-01-01 02:15:00,Delhi,Cash,Vegetables,Chips,321.41,0,321.41,5,1607.05,36-50,33,4.5
ZP100136,2602,2024-01-01 02:16:00,Kolkata,Cash,Beverages,Milk,396.32,0,396.32,2,792.64,36-50,31,4.3
ZP100137,7406,2024-01-01 02:17:00,Delhi,Credit Card,Fruits,Tomato,242.2,20,193.76,2,387.52,36-50,39,4.5
ZP100138,7254,2024-01-01 02:18:00,Delhi,Debit Card,Bakery,Bread,70.23,10,63.21,4,252.84,51+,41,4.0
ZP100139,1754,2024-01-01 02:19:00,Kolkata,Credit Card,Vegetables,Apple,456.01,15,387.61,5,1938.05,26-35,38,3.6
ZP100140,9413,2024-01-01 02:20:00,Delhi,Credit Card,Vegetables,Tomato,241.95,0,241.95,5,1209.75,36-50,24,4.6
ZP100141,6557,2024-01-01 02:21:00,Delhi,Cash,Vegetables,Apple,375.53,5,356.75,1,356.75,18-25,32,4.7
ZP100142,6844,2024-01-01 02:22:00,Mumbai,Credit Card,Fruits,Chips,99.55,20,79.64,1,79.64,51+,20,4.8
ZP100143,8784,2024-01-01 02:23:00,Bangalore,Credit Card,Dairy,Apple,114.59,25,85.94,4,343.76,36-50,33,4.8
ZP100144,9631,2024-01-01 02:24:00,Bangalore,Cash,Snacks,Milk,382.64,25,286.98,2,573.96,51+,42,3.9
ZP100145,6816,2024-01-01 02:25:00,Kolkata,UPI,Dairy,Bread,496.0,25,372.0,5,1860.0,26-35,36,4.0
ZP100146,7550,2024-01-01 02:26:00,Kolkata,Credit Card,Snacks,Apple,121.63,10,109.47,2,218.94,36-50,30,3.9
ZP100147,3744,2024-01-01 02:27:00,Kolkata,UPI,Dairy,Tomato,393.74,20,314.99,5,1574.95,18-25,38,3.7
ZP100148,3079,2024-01-01 02:28:00,Kolkata,Credit Card,Bakery,Chips,126.1,10,113.49,2,226.98,36-50,21,4.4
ZP100149,6079,2024-01-01 02:29:00,Delhi,UPI,Dairy,Tomato,332.5,25,249.38,3,748.14,26-35,40,4.2
ZP100150,8766,2024-01-01 02:30:00,Chennai,Debit Card,Fruits,Milk,354.01,15,300.91,5,1504.55,26-35,31,4.9
ZP100151,6665,2024-01-01 02:31:00,Kolkata,Credit Card,Snacks,Bread,94.38,0,94.38,1,94.38,18-25,37,3.7
ZP100152,3298,2024-01-01 02:32:00,Bangalore,Credit Card,Bakery,Milk,40.78,25,30.58,1,30.58,26-35,22,4.2
ZP100153,8708,2024-01-01 02:33:00,Chennai,Credit Card,Fruits,Bread,99.78,5,94.79,5,473.95,36-50,34,4.7
ZP100154,3338,2024-01-01 02:34:00,Mumbai,Cash,Vegetables,Chips,225.94,5,214.64,1,214.64,18-25,25,4.5
ZP100155,7676,2024-01-01 02:35:00,Mumbai,Debit Card,Beverages,Tomato,404.49,25,303.37,4,1213.48,36-50,17,4.1
ZP100156,8878,2024-01-01 02:36:00,Chennai,Cash,Beverages,Bread,107.41,15,91.3,5,456.5,26-35,42,4.1
ZP100157,4225,2024-01-01 02:37:00,Delhi,Debit Card,Snacks,Chips,453.24,5,430.58,2,861.16,26-35,11,4.4
ZP100158,7700,2024-01-01 02:38:00,Bangalore,Credit Card,Fruits,Butter,473.04,5,449.39,4,1797.56,18-25,33,3.8
ZP100159,3001,2024-01-01 02:39:00,Delhi,Debit Card,Bakery,Milk,499.87,25,374.9,4,1499.6,26-35,23,4.8
ZP100160,8134,2024-01-01 02:40:00,Kolkata,Cash,Beverages,Juice,172.68,5,164.05,3,492.15,51+,12,4.4
ZP100161,1747,2024-01-01 02:41:00,Mumbai,UPI,Fruits,Chips,168.45,0,168.45,3,505.35,51+,29,3.7
ZP100162,7854,2024-01-01 02:42:00,Kolkata,Credit Card,Dairy,Juice,187.61,20,150.09,3,450.27,51+,43,4.5
ZP100163,5306,2024-01-01 02:43:00,Bangalore,Credit Card,Vegetables,Chips,32.94,0,32.94,1,32.94,51+,44,3.5
ZP100164,3429,2024-01-01 02:44:00,Chennai,Credit Card,Vegetables,Milk,152.76,10,137.48,4,549.92,18-25,42,4.4
ZP100165,7997,2024-01-01 02:45:00,Bangalore,Credit Card,Beverages,Tomato,92.26,0,92.26,2,184.52,51+,12,4.6
ZP100166,8256,2024-01-01 02:46:00,Bangalore,UPI,Bakery,Butter,311.75,0,311.75,3,935.25,36-50,10,3.9
ZP100167,1102,2024-01-01 02:47:00,Kolkata,Credit Card,Snacks,Milk,399.59,15,339.65,4,1358.6,36-50,36,4.6
ZP100168,8093,2024-01-01 02:48:00,Chennai,Debit Card,Bakery,Milk,282.98,10,254.68,5,1273.4,26-35,12,3.5
ZP100169,5917,2024-01-01 02:49:00,Chennai,UPI,Bakery,Butter,208.35,5,197.93,5,989.65,36-50,29,4.0
ZP100170,5958,2024-01-01 02:50:00,Delhi,Credit Card,Snacks,Chips,136.75,0,136.75,3,410.25,26-35,37,3.6
ZP100171,6037,2024-01-01 02:51:00,Kolkata,UPI,Beverages,Butter,362.09,25,271.57,2,543.14,26-35,33,4.4
ZP100172,3892,2024-01-01 02:52:00,Bangalore,Debit Card,Snacks,Chips,80.83,20,64.66,5,323.3,18-25,16,4.8
ZP100173,4848,2024-01-01 02:53:00,Bangalore,UPI,Bakery,Juice,93.83,10,84.45,2,168.9,26-35,25,4.2
ZP100174,9524,2024-01-01 02:54:00,Bangalore,Credit Card,Fruits,Tomato,426.13,5,404.82,1,404.82,36-50,15,3.6
ZP100175,3407,2024-01-01 02:55:00,Delhi,UPI,Beverages,Butter,321.21,10,289.09,5,1445.45,18-25,37,3.9
ZP100176,2361,2024-01-01 02:56:00,Chennai,UPI,Dairy,Milk,499.31,20,399.45,4,1597.8,18-25,41,4.2
ZP100177,8496,2024-01-01 02:57:00,Delhi,Cash,Bakery,Juice,456.49,10,410.84,4,1643.36,51+,14,5.0
ZP100178,9224,2024-01-01 02:58:00,Mumbai,Credit Card,Bakery,Apple,172.31,5,163.69,1,163.69,26-35,25,4.9
ZP100179,2709,2024-01-01 02:59:00,Delhi,UPI,Bakery,Butter,161.29,25,120.97,2,241.94,26-35,42,3.9
ZP100180,2684,2024-01-01 03:00:00,Delhi,UPI,Vegetables,Butter,187.4,10,168.66,1,168.66,36-50,20,4.5
ZP100181,8924,2024-01-01 03:01:00,Chennai,Cash,Dairy,Tomato,301.87,20,241.5,3,724.5,26-35,21,4.6
ZP100182,8181,2024-01-01 03:02:00,Bangalore,Credit Card,Fruits,Butter,224.89,15,191.16,4,764.64,51+,17,4.3
ZP100183,8506,2024-01-01 03:03:00,Mumbai,Debit Card,Fruits,Bread,432.0,25,324.0,2,648.0,51+,39,4.6
ZP100184,5794,2024-01-01 03:04:00,Kolkata,Cash,Snacks,Apple,329.27,5,312.81,4,1251.24,51+,29,3.6
ZP100185,9572,2024-01-01 03:05:00,Chennai,Cash,Bakery,Apple,318.64,25,238.98,5,1194.9,18-25,20,4.2
ZP100186,8017,2024-01-01 03:06:00,Bangalore,UPI,Beverages,Apple,254.9,20,203.92,3,611.76,51+,21,4.4
ZP100187,9827,2024-01-01 03:07:00,Delhi,UPI,Dairy,Chips,492.08,15,418.27,3,1254.81,51+,29,4.0
ZP100188,7970,2024-01-01 03:08:00,Delhi,Credit Card,Fruits,Tomato,383.85,25,287.89,5,1439.45,51+,36,4.4
ZP100189,1572,2024-01-01 03:09:00,Mumbai,Credit Card,Fruits,Milk,494.8,0,494.8,2,989.6,51+,31,4.1
ZP100190,7394,2024-01-01 03:10:00,Bangalore,Cash,Dairy,Bread,382.79,10,344.51,2,689.02,26-35,28,3.5
ZP100191,4172,2024-01-01 03:11:00,Mumbai,Cash,Dairy,Tomato,470.8,15,400.18,3,1200.54,26-35,17,5.0
ZP100192,9427,2024-01-01 03:12:00,Mumbai,Debit Card,Vegetables,Juice,288.04,25,216.03,5,1080.15,36-50,13,4.4
ZP100193,8759,2024-01-01 03:13:00,Bangalore,Credit Card,Fruits,Juice,327.18,15,278.1,4,1112.4,18-25,44,3.7
ZP100194,4079,2024-01-01 03:14:00,Kolkata,UPI,Beverages,Milk,239.86,20,191.89,5,959.45,36-50,25,4.9
ZP100195,3221,2024-01-01 03:15:00,Kolkata,Cash,Snacks,Apple,366.93,25,275.2,4,1100.8,36-50,28,3.6
ZP100196,3132,2024-01-01 03:16:00,Kolkata,UPI,Bakery,Apple,216.81,0,216.81,4,867.24,36-50,10,4.7
ZP100197,7194,2024-01-01 03:17:00,Delhi,UPI,Snacks,Chips,266.16,0,266.16,5,1330.8,18-25,44,4.4
ZP100198,5952,2024-01-01 03:18:00,Bangalore,Cash,Snacks,Bread,492.87,10,443.58,3,1330.74,26-35,31,4.4
ZP100199,8850,2024-01-01 03:19:00,Delhi,UPI,Bakery,Bread,296.11,20,236.89,2,473.78,26-35,15,4.8
ZP100200,8691,2024-01-01 03:20:00,Mumbai,Credit Card,Vegetables,Butter,448.63,5,426.2,2,852.4,51+,44,3.6
ZP100201,7765,2024-01-01 03:21:00,Delhi,Cash,Vegetables,Juice,418.39,20,334.71,1,334.71,26-35,40,4.6
